px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
9.69079	-5.05342	-2.58484	-2.49958	0.0961403	9.83281	-5.00671	9.7	-4.95	0.998666	1.99733	15.9391
9.7901	-4.9462	-2.60446	-2.47684	0.112882	9.74856	-4.84745	9.75	-4.85	0.998656	1.99731	6.90261e-310
9.89447	-4.84524	-2.59374	-2.45233	0.140086	9.96003	-4.81123	9.85	-4.75	1.8172	1.81719	0.594441
9.9947	-4.73423	-2.60028	-2.43094	0.152667	9.93394	-4.66432	9.95	-4.65	1.81717	1.81717	6.90261e-310
10.0981	-4.63264	-2.59661	-2.41188	0.168018	10.1357	-4.58625	10.05	-4.55	1.82042	1.82043	0.186784
10.1962	-4.51553	-2.60813	-2.38858	0.180907	10.1444	-4.44253	10.15	-4.45	1.82041	1.82042	6.90261e-310
10.3365	-4.44075	-2.66086	-2.43233	0.0992026	10.3185	-4.35401	10.3	-4.35	2.72672	1.81782	5.22775
10.4498	-4.32125	-2.68717	-2.41499	0.110065	10.4496	-4.24828	10.45	-4.25	2.7267	1.8178	6.90261e-310
10.4858	-4.1704	-2.5804	-2.30075	0.271621	10.5826	-4.11494	10.5	-4.1	0.908764	2.72628	19.6176
10.5777	-4.03658	-2.60642	-2.27099	0.285148	10.5542	-3.95161	10.55	-3.95	0.908764	2.72628	6.90261e-310
10.6625	-3.91502	-2.607	-2.24205	0.303051	10.6618	-3.80699	10.65	-3.8	1.8194	2.72911	0.270594
10.7549	-3.76527	-2.65154	-2.20888	0.317854	10.7602	-3.65417	10.75	-3.65	1.81939	2.72908	6.90261e-310
10.8631	-3.65867	-2.67578	-2.22312	0.269215	10.8593	-3.57039	10.85	-3.55	1.81839	1.81838	1.7347
10.9503	-3.52325	-2.69515	-2.19958	0.276977	10.9375	-3.46792	10.95	-3.45	1.81838	1.81838	6.90261e-310
10.9938	-3.3734	-2.66109	-2.12205	0.36915	11.0183	-3.30073	11	-3.3	0.908549	2.72563	5.52596
11.0702	-3.22266	-2.69237	-2.09117	0.378462	11.0672	-3.14607	11.05	-3.15	0.908549	2.72564	6.90261e-310
11.1201	-3.07666	-2.68407	-2.03766	0.426233	11.1054	-3.01303	11.1	-3	0.90888	2.72663	1.38766
11.179	-2.92088	-2.7083	-2.00231	0.436655	11.1428	-2.8481	11.15	-2.85	0.908863	2.72661	6.90261e-310
11.227	-2.77497	-2.70839	-1.96127	0.460554	11.1758	-2.69942	11.2	-2.7	0.909988	2.72995	0.378724
11.2774	-2.61352	-2.73553	-1.92556	0.469462	11.2495	-2.5409	11.25	-2.55	0.909988	2.72995	6.90261e-310
11.2342	-2.42001	-2.71802	-1.76236	0.679635	11.4549	-2.46508	11.2	-2.4	-0.907692	2.72306	28.0948
11.2453	-2.26561	-2.71834	-1.71551	0.688053	11.1705	-2.24061	11.15	-2.25	-0.907683	2.72304	6.90261e-310
