px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0	0	0	0	0	0	0	0	0	0	0	6.93295e-310
-1.30244e-05	0.00863828	0.00165071	0.00748975	0.00619724	0	0	0	0	0	0	0.101019
1.41375	-3.02367e-05	2.66084	-0.0341974	-0.0156528	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339	6.93295e-310
1.42314	0.00365989	2.6747	-0.0424409	-0.0399217	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339	2.871
3.88292	-0.133922	2.84316	-0.0725028	-0.0338932	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323	6.93295e-310
3.94355	0.0725075	2.58949	0.0664828	0.0495675	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323	4.24475
6.83685	0.41207	3.18467	0.192151	0.0994755	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847	6.93295e-310
6.74701	0.440096	2.72517	0.241054	0.164708	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847	1.91776
9.07366	0.600081	2.71373	0.0163618	-0.0854535	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526	6.93295e-310
9.03822	0.667308	2.66917	0.0603318	-0.0582151	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526	1.16234
11.5636	1.65452	2.93426	0.599334	0.322697	11.5756	1.6669	11.3468	1.427	2.49328	0.600781	6.93295e-310
11.5392	1.619	2.90609	0.578828	0.312	11.4447	1.42958	11.3468	1.427	2.49328	0.600781	0.497513
13.6013	2.33086	2.28921	0.357356	-0.0252494	13.5921	2.31191	13.827	2.07905	2.5429	0.724947	6.93295e-310
13.6298	2.30771	2.55992	0.309739	-0.0976878	13.6572	1.99915	13.827	2.07905	2.5429	0.724947	1.04932
16.6044	2.89972	3.40155	-0.00594555	-0.236208	16.6456	2.903	16.3554	2.85243	2.58284	0.844365	6.93295e-310
16.5338	2.88168	3.05555	-0.0369987	-0.295207	16.282	2.84648	16.3554	2.85243	2.58284	0.844365	1.21502
19.0131	3.69361	2.853	0.364413	0.144812	19.0106	3.70555	18.923	3.74161	2.61382	0.95648	6.93295e-310
